TaxiPassangerPredictionExperiment637837599358625914.txt
******Sequence Starting*****
Cycle: 144 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 1
Cycle: 145 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 2
cycle : 146 	 Accuracy :75 	 
Cycle: 147 	 Saturated Accuracy : 75 	 Number of times repeated 1
Cycle: 148 	 Saturated Accuracy : 75 	 Number of times repeated 2
cycle : 149 	 Accuracy :83.33333333333334 	 
Cycle: 150 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 1
Cycle: 151 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 2
Cycle: 152 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 3
cycle : 153 	 Accuracy :79.16666666666666 	 
Cycle: 154 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 1
cycle : 155 	 Accuracy :83.33333333333334 	 
Cycle: 156 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 1
Cycle: 157 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 2
Cycle: 158 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 3
Cycle: 159 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 4
cycle : 160 	 Accuracy :79.16666666666666 	 
cycle : 161 	 Accuracy :83.33333333333334 	 
Cycle: 162 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 1
cycle : 163 	 Accuracy :75 	 
cycle : 164 	 Accuracy :83.33333333333334 	 
Cycle: 165 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 1
cycle : 166 	 Accuracy :79.16666666666666 	 
Cycle: 167 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 1
Cycle: 168 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 2
cycle : 169 	 Accuracy :83.33333333333334 	 
cycle : 170 	 Accuracy :79.16666666666666 	 
cycle : 171 	 Accuracy :83.33333333333334 	 
Cycle: 172 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 1
cycle : 173 	 Accuracy :79.16666666666666 	 
Cycle: 174 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 1
cycle : 175 	 Accuracy :83.33333333333334 	 
cycle : 176 	 Accuracy :79.16666666666666 	 
Cycle: 177 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 1
cycle : 178 	 Accuracy :83.33333333333334 	 
cycle : 179 	 Accuracy :79.16666666666666 	 
cycle : 180 	 Accuracy :83.33333333333334 	 
cycle : 181 	 Accuracy :79.16666666666666 	 
Cycle: 182 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 1
Cycle: 183 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 2
Cycle: 184 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 3
Cycle: 185 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 4
Cycle: 186 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 5
Cycle: 187 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 6
Cycle: 188 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 7
cycle : 189 	 Accuracy :83.33333333333334 	 
Cycle: 190 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 1
Cycle: 191 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 2
Cycle: 192 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 3
Cycle: 193 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 4
Cycle: 194 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 5
Cycle: 195 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 6
cycle : 196 	 Accuracy :79.16666666666666 	 
Cycle: 197 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 1
Cycle: 198 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 2
cycle : 199 	 Accuracy :75 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :0 	 
Cycle : 5 	  Accuracy:100 	 Number of times repeated 1
cycle : 6 	 Accuracy :0 	 
Cycle : 7 	  Accuracy:100 	 Number of times repeated 1
cycle : 8 	 Accuracy :0 	 
Cycle : 9 	  Accuracy:100 	 Number of times repeated 1
cycle : 10 	 Accuracy :0 	 
Cycle : 11 	  Accuracy:100 	 Number of times repeated 1
cycle : 12 	 Accuracy :0 	 
Cycle : 13 	  Accuracy:100 	 Number of times repeated 1
Cycle : 14 	  Accuracy:100 	 Number of times repeated 2
cycle : 15 	 Accuracy :0 	 
Cycle : 16 	  Accuracy:100 	 Number of times repeated 1
Cycle : 17 	  Accuracy:100 	 Number of times repeated 2
cycle : 18 	 Accuracy :0 	 
Cycle : 19 	  Accuracy:100 	 Number of times repeated 1
Cycle : 20 	  Accuracy:100 	 Number of times repeated 2
cycle : 21 	 Accuracy :0 	 
Cycle : 22 	  Accuracy:100 	 Number of times repeated 1
Cycle : 23 	  Accuracy:100 	 Number of times repeated 2
cycle : 24 	 Accuracy :0 	 
Cycle : 25 	  Accuracy:100 	 Number of times repeated 1
Cycle : 26 	  Accuracy:100 	 Number of times repeated 2
Cycle : 27 	  Accuracy:100 	 Number of times repeated 3
cycle : 28 	 Accuracy :0 	 
Cycle : 29 	  Accuracy:100 	 Number of times repeated 1
Cycle : 30 	  Accuracy:100 	 Number of times repeated 2
Cycle : 31 	  Accuracy:100 	 Number of times repeated 3
cycle : 32 	 Accuracy :0 	 
Cycle : 33 	  Accuracy:100 	 Number of times repeated 1
Cycle : 34 	  Accuracy:100 	 Number of times repeated 2
Cycle : 35 	  Accuracy:100 	 Number of times repeated 3
cycle : 36 	 Accuracy :0 	 
Cycle : 37 	  Accuracy:100 	 Number of times repeated 1
Cycle : 38 	  Accuracy:100 	 Number of times repeated 2
Cycle : 39 	  Accuracy:100 	 Number of times repeated 3
cycle : 40 	 Accuracy :0 	 
Cycle : 41 	  Accuracy:100 	 Number of times repeated 1
Cycle : 42 	  Accuracy:100 	 Number of times repeated 2
Cycle : 43 	  Accuracy:100 	 Number of times repeated 3
Cycle : 44 	  Accuracy:100 	 Number of times repeated 4
cycle : 45 	 Accuracy :0 	 
Cycle : 46 	  Accuracy:100 	 Number of times repeated 1
Cycle : 47 	  Accuracy:100 	 Number of times repeated 2
Cycle : 48 	  Accuracy:100 	 Number of times repeated 3
Cycle : 49 	  Accuracy:100 	 Number of times repeated 4
cycle : 50 	 Accuracy :0 	 
Cycle : 51 	  Accuracy:100 	 Number of times repeated 1
Cycle : 52 	  Accuracy:100 	 Number of times repeated 2
Cycle : 53 	  Accuracy:100 	 Number of times repeated 3
Cycle : 54 	  Accuracy:100 	 Number of times repeated 4
cycle : 55 	 Accuracy :0 	 
Cycle : 56 	  Accuracy:100 	 Number of times repeated 1
Cycle : 57 	  Accuracy:100 	 Number of times repeated 2
Cycle : 58 	  Accuracy:100 	 Number of times repeated 3
Cycle : 59 	  Accuracy:100 	 Number of times repeated 4
cycle : 60 	 Accuracy :0 	 
Cycle : 61 	  Accuracy:100 	 Number of times repeated 1
Cycle : 62 	  Accuracy:100 	 Number of times repeated 2
Cycle : 63 	  Accuracy:100 	 Number of times repeated 3
Cycle : 64 	  Accuracy:100 	 Number of times repeated 4
Cycle : 65 	  Accuracy:100 	 Number of times repeated 5
Cycle : 66 	  Accuracy:100 	 Number of times repeated 6
Cycle : 67 	  Accuracy:100 	 Number of times repeated 7
Cycle : 68 	  Accuracy:100 	 Number of times repeated 8
Cycle : 69 	  Accuracy:100 	 Number of times repeated 9
Cycle : 70 	  Accuracy:100 	 Number of times repeated 10
Cycle : 71 	  Accuracy:100 	 Number of times repeated 11
Cycle : 72 	  Accuracy:100 	 Number of times repeated 12
Cycle : 73 	  Accuracy:100 	 Number of times repeated 13
Cycle : 74 	  Accuracy:100 	 Number of times repeated 14
Cycle : 75 	  Accuracy:100 	 Number of times repeated 15
Cycle : 76 	  Accuracy:100 	 Number of times repeated 16
Cycle : 77 	  Accuracy:100 	 Number of times repeated 17
Cycle : 78 	  Accuracy:100 	 Number of times repeated 18
Cycle : 79 	  Accuracy:100 	 Number of times repeated 19
Cycle : 80 	  Accuracy:100 	 Number of times repeated 20
Cycle : 81 	  Accuracy:100 	 Number of times repeated 21
Cycle : 82 	  Accuracy:100 	 Number of times repeated 22
Cycle : 83 	  Accuracy:100 	 Number of times repeated 23
Cycle : 84 	  Accuracy:100 	 Number of times repeated 24
Cycle : 85 	  Accuracy:100 	 Number of times repeated 25
Cycle : 86 	  Accuracy:100 	 Number of times repeated 26
Cycle : 87 	  Accuracy:100 	 Number of times repeated 27
